# Athena++ data at time=1.200000e+13  cycle=804121962  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0066  2.28049e+18  2.00491e-21  6.32601e-07  4.94981e+06  2.96030e-01  0.00000e+00
0067  2.29891e+18  2.02446e-21  6.32997e-07  5.08973e+06  2.97485e-01  0.00000e+00
0068  2.31732e+18  2.09368e-21  6.30998e-07  5.24425e+06  2.95820e-01  0.00000e+00
0069  2.33574e+18  2.33931e-21  6.21465e-07  5.50642e+06  2.87748e-01  0.00000e+00
0070  2.35415e+18  3.52863e-21  6.12517e-07  5.85728e+06  2.59862e-01  0.00000e+00
0071  2.37257e+18  1.10922e-20  5.82827e-07  5.72802e+06  1.96926e-01  0.00000e+00
0072  2.39098e+18  2.49353e-20  5.76493e-07  4.77250e+06  1.65551e-01  0.00000e+00
0073  2.40940e+18  2.55670e-20  5.78541e-07  4.45785e+06  1.61858e-01  0.00000e+00
0074  2.42781e+18  2.48763e-20  5.65939e-07  4.43095e+06  1.61923e-01  0.00000e+00
0075  2.44623e+18  2.39899e-20  5.51074e-07  4.41007e+06  1.62521e-01  0.00000e+00
0076  2.46464e+18  2.32550e-20  5.37271e-07  4.38918e+06  1.63929e-01  0.00000e+00
0077  2.48306e+18  2.25428e-20  5.23815e-07  4.35774e+06  1.65928e-01  0.00000e+00
0078  2.50147e+18  2.18001e-20  5.11362e-07  4.32830e+06  1.68034e-01  0.00000e+00
0079  2.51989e+18  2.11468e-20  5.00224e-07  4.30396e+06  1.69971e-01  0.00000e+00
0080  2.53831e+18  2.05839e-20  4.88892e-07  4.28038e+06  1.71754e-01  0.00000e+00
0081  2.55672e+18  2.00487e-20  4.78841e-07  4.25722e+06  1.73472e-01  0.00000e+00
0082  2.57514e+18  1.94744e-20  4.68516e-07  4.22572e+06  1.75141e-01  0.00000e+00
0083  2.59355e+18  1.86429e-20  4.55549e-07  4.14593e+06  1.76683e-01  0.00000e+00
0084  2.61197e+18  1.71518e-20  4.36993e-07  3.95022e+06  1.77980e-01  0.00000e+00
0085  2.63038e+18  1.52068e-20  4.18804e-07  3.68295e+06  1.78939e-01  0.00000e+00
0086  2.64880e+18  1.41209e-20  4.09601e-07  3.54999e+06  1.79592e-01  0.00000e+00
0087  2.66721e+18  1.38988e-20  4.03608e-07  3.53787e+06  1.80101e-01  0.00000e+00
0088  2.68563e+18  1.38599e-20  3.98181e-07  3.54128e+06  1.80594e-01  0.00000e+00
0089  2.70404e+18  1.38347e-20  3.93039e-07  3.54598e+06  1.81111e-01  0.00000e+00
0090  2.72246e+18  1.37803e-20  3.88039e-07  3.55111e+06  1.81649e-01  0.00000e+00
0091  2.74088e+18  1.36909e-20  3.83086e-07  3.55861e+06  1.82183e-01  0.00000e+00
0092  2.75929e+18  1.36054e-20  3.78363e-07  3.56974e+06  1.82700e-01  0.00000e+00
0093  2.77771e+18  1.33471e-20  3.73144e-07  3.55245e+06  1.83340e-01  0.00000e+00
0094  2.79612e+18  1.11003e-20  3.67828e-07  3.65711e+06  1.84432e-01  0.00000e+00
0095  2.81454e+18  6.49262e-21  3.68322e-07  4.48574e+06  1.86068e-01  0.00000e+00
0096  2.83295e+18  3.89762e-21  3.30170e-07  6.22989e+06  1.88042e-01  0.00000e+00
0097  2.85137e+18  2.95091e-21  3.13946e-07  7.21226e+06  1.90190e-01  0.00000e+00
0098  2.86978e+18  2.49383e-21  3.03393e-07  7.88921e+06  1.92410e-01  0.00000e+00
0099  2.88820e+18  2.21584e-21  2.95331e-07  8.42722e+06  1.94649e-01  0.00000e+00
0100  2.90661e+18  2.01904e-21  2.88555e-07  8.89230e+06  1.96890e-01  0.00000e+00
0101  2.92503e+18  1.86680e-21  2.82595e-07  9.31092e+06  1.99124e-01  0.00000e+00
0102  2.94345e+18  1.74389e-21  2.77260e-07  9.69101e+06  2.01350e-01  0.00000e+00
0103  2.96186e+18  1.64033e-21  2.72436e-07  1.00419e+07  2.03568e-01  0.00000e+00
0104  2.98028e+18  1.55035e-21  2.67800e-07  1.03748e+07  2.05775e-01  0.00000e+00
0105  2.99869e+18  1.47147e-21  2.63417e-07  1.06856e+07  2.07972e-01  0.00000e+00
0106  3.01711e+18  1.40141e-21  2.59238e-07  1.09772e+07  2.10158e-01  0.00000e+00
0107  3.03552e+18  1.33840e-21  2.55241e-07  1.12541e+07  2.12334e-01  0.00000e+00
0108  3.05394e+18  1.28136e-21  2.51421e-07  1.15197e+07  2.14497e-01  0.00000e+00
0109  3.07235e+18  1.22960e-21  2.47808e-07  1.17754e+07  2.16649e-01  0.00000e+00
0110  3.09077e+18  1.18250e-21  2.44411e-07  1.20224e+07  2.18790e-01  0.00000e+00
0111  3.10918e+18  1.13956e-21  2.41215e-07  1.22612e+07  2.20918e-01  0.00000e+00
0112  3.12760e+18  1.10010e-21  2.38206e-07  1.24921e+07  2.23035e-01  0.00000e+00
0113  3.14602e+18  1.06350e-21  2.35320e-07  1.27170e+07  2.25140e-01  0.00000e+00
0114  3.16443e+18  1.02942e-21  2.32539e-07  1.29352e+07  2.27234e-01  0.00000e+00
0115  3.18285e+18  9.97638e-22  2.29852e-07  1.31457e+07  2.29316e-01  0.00000e+00
0116  3.20126e+18  9.67930e-22  2.27252e-07  1.33478e+07  2.31388e-01  0.00000e+00
0117  3.21968e+18  9.40125e-22  2.24736e-07  1.35412e+07  2.33452e-01  0.00000e+00
0118  3.23809e+18  9.14070e-22  2.22306e-07  1.37259e+07  2.35507e-01  0.00000e+00
0119  3.25651e+18  8.89628e-22  2.19963e-07  1.39023e+07  2.37556e-01  0.00000e+00
0120  3.27492e+18  8.66693e-22  2.17712e-07  1.40712e+07  2.39599e-01  0.00000e+00
0121  3.29334e+18  8.45104e-22  2.15565e-07  1.42335e+07  2.41640e-01  0.00000e+00
0122  3.31176e+18  8.24733e-22  2.13507e-07  1.43911e+07  2.43679e-01  0.00000e+00
0123  3.33017e+18  8.05521e-22  2.11547e-07  1.45439e+07  2.45718e-01  0.00000e+00
0124  3.34859e+18  7.87382e-22  2.09678e-07  1.46922e+07  2.47758e-01  0.00000e+00
0125  3.36700e+18  7.70228e-22  2.07895e-07  1.48360e+07  2.49800e-01  0.00000e+00
0126  3.38542e+18  7.53972e-22  2.06188e-07  1.49748e+07  2.51846e-01  0.00000e+00
0127  3.40383e+18  7.38540e-22  2.04549e-07  1.51082e+07  2.53896e-01  0.00000e+00
0128  3.42225e+18  7.23868e-22  2.02971e-07  1.52357e+07  2.55951e-01  0.00000e+00
0129  3.44066e+18  7.09897e-22  2.01449e-07  1.53569e+07  2.58013e-01  0.00000e+00
0130  3.45908e+18  6.96580e-22  1.99979e-07  1.54717e+07  2.60081e-01  0.00000e+00
0131  3.47749e+18  6.83871e-22  1.98557e-07  1.55803e+07  2.62158e-01  0.00000e+00
0132  3.49591e+18  6.71728e-22  1.97181e-07  1.56831e+07  2.64243e-01  0.00000e+00
0133  3.51433e+18  6.60116e-22  1.95849e-07  1.57805e+07  2.66338e-01  0.00000e+00
0134  3.53274e+18  6.49001e-22  1.94560e-07  1.58733e+07  2.68444e-01  0.00000e+00
0135  3.55116e+18  6.38357e-22  1.93313e-07  1.59622e+07  2.70562e-01  0.00000e+00
0136  3.56957e+18  6.28159e-22  1.92112e-07  1.60478e+07  2.72694e-01  0.00000e+00
0137  3.58799e+18  6.18385e-22  1.90957e-07  1.61303e+07  2.74840e-01  0.00000e+00
0138  3.60640e+18  6.09016e-22  1.89850e-07  1.62101e+07  2.77002e-01  0.00000e+00
0139  3.62482e+18  6.00030e-22  1.88792e-07  1.62871e+07  2.79181e-01  0.00000e+00
0140  3.64323e+18  5.91404e-22  1.87781e-07  1.63609e+07  2.81379e-01  0.00000e+00
0141  3.66165e+18  5.83114e-22  1.86815e-07  1.64313e+07  2.83599e-01  0.00000e+00
0142  3.68007e+18  5.75134e-22  1.85890e-07  1.64980e+07  2.85840e-01  0.00000e+00
0143  3.69848e+18  5.67438e-22  1.84998e-07  1.65609e+07  2.88106e-01  0.00000e+00
0144  3.71690e+18  5.60000e-22  1.84135e-07  1.66199e+07  2.90397e-01  0.00000e+00
0145  3.73531e+18  5.52794e-22  1.83293e-07  1.66752e+07  2.92716e-01  0.00000e+00
0146  3.75373e+18  5.45800e-22  1.82466e-07  1.67271e+07  2.95062e-01  0.00000e+00
0147  3.77214e+18  5.38999e-22  1.81649e-07  1.67761e+07  2.97438e-01  0.00000e+00
0148  3.79056e+18  5.32377e-22  1.80840e-07  1.68226e+07  2.99845e-01  0.00000e+00
0149  3.80897e+18  5.25930e-22  1.80041e-07  1.68670e+07  3.02282e-01  0.00000e+00
0150  3.82739e+18  5.19662e-22  1.79258e-07  1.69092e+07  3.04750e-01  0.00000e+00
0151  3.84581e+18  5.13578e-22  1.78499e-07  1.69491e+07  3.07250e-01  0.00000e+00
0152  3.86422e+18  5.07691e-22  1.77771e-07  1.69865e+07  3.09783e-01  0.00000e+00
0153  3.88264e+18  5.02001e-22  1.77081e-07  1.70214e+07  3.12348e-01  0.00000e+00
0154  3.90105e+18  4.96491e-22  1.76422e-07  1.70545e+07  3.14945e-01  0.00000e+00
0155  3.91947e+18  4.91159e-22  1.75794e-07  1.70857e+07  3.17575e-01  0.00000e+00
0156  3.93788e+18  4.85994e-22  1.75196e-07  1.71151e+07  3.20236e-01  0.00000e+00
0157  3.95630e+18  4.80984e-22  1.74620e-07  1.71429e+07  3.22928e-01  0.00000e+00
0158  3.97471e+18  4.76116e-22  1.74063e-07  1.71691e+07  3.25650e-01  0.00000e+00
0159  3.99313e+18  4.71379e-22  1.73516e-07  1.71937e+07  3.28402e-01  0.00000e+00
0160  4.01155e+18  4.66763e-22  1.72977e-07  1.72168e+07  3.31181e-01  0.00000e+00
0161  4.02996e+18  4.62260e-22  1.72440e-07  1.72383e+07  3.33987e-01  0.00000e+00
0162  4.04838e+18  4.57863e-22  1.71904e-07  1.72581e+07  3.36819e-01  0.00000e+00
0163  4.06679e+18  4.53572e-22  1.71370e-07  1.72762e+07  3.39675e-01  0.00000e+00
0164  4.08521e+18  4.49390e-22  1.70841e-07  1.72924e+07  3.42556e-01  0.00000e+00
0165  4.10362e+18  4.45317e-22  1.70319e-07  1.73067e+07  3.45459e-01  0.00000e+00
0166  4.12204e+18  4.41357e-22  1.69809e-07  1.73190e+07  3.48386e-01  0.00000e+00
0167  4.14045e+18  4.37511e-22  1.69313e-07  1.73295e+07  3.51337e-01  0.00000e+00
0168  4.15887e+18  4.33777e-22  1.68833e-07  1.73384e+07  3.54311e-01  0.00000e+00
0169  4.17728e+18  4.30155e-22  1.68372e-07  1.73460e+07  3.57311e-01  0.00000e+00
0170  4.19570e+18  4.26638e-22  1.67929e-07  1.73526e+07  3.60338e-01  0.00000e+00
0171  4.21412e+18  4.23221e-22  1.67502e-07  1.73585e+07  3.63393e-01  0.00000e+00
0172  4.23253e+18  4.19895e-22  1.67090e-07  1.73640e+07  3.66478e-01  0.00000e+00
0173  4.25095e+18  4.16650e-22  1.66688e-07  1.73694e+07  3.69595e-01  0.00000e+00
0174  4.26936e+18  4.13479e-22  1.66295e-07  1.73745e+07  3.72748e-01  0.00000e+00
0175  4.28778e+18  4.10372e-22  1.65908e-07  1.73794e+07  3.75938e-01  0.00000e+00
0176  4.30619e+18  4.07323e-22  1.65526e-07  1.73838e+07  3.79169e-01  0.00000e+00
0177  4.32461e+18  4.04325e-22  1.65147e-07  1.73875e+07  3.82444e-01  0.00000e+00
0178  4.34302e+18  4.01379e-22  1.64773e-07  1.73903e+07  3.85765e-01  0.00000e+00
0179  4.36144e+18  3.98470e-22  1.64398e-07  1.73916e+07  3.89134e-01  0.00000e+00
0180  4.37986e+18  3.95596e-22  1.64026e-07  1.73910e+07  3.92556e-01  0.00000e+00
0181  4.39827e+18  3.92757e-22  1.63661e-07  1.73890e+07  3.96033e-01  0.00000e+00
0182  4.41669e+18  3.89960e-22  1.63301e-07  1.73855e+07  3.99566e-01  0.00000e+00
0183  4.43510e+18  3.87211e-22  1.62947e-07  1.73806e+07  4.03160e-01  0.00000e+00
0184  4.45352e+18  3.84506e-22  1.62599e-07  1.73745e+07  4.06816e-01  0.00000e+00
0185  4.47193e+18  3.81839e-22  1.62257e-07  1.73675e+07  4.10538e-01  0.00000e+00
0186  4.49035e+18  3.79205e-22  1.61921e-07  1.73600e+07  4.14329e-01  0.00000e+00
0187  4.50876e+18  3.76599e-22  1.61591e-07  1.73524e+07  4.18193e-01  0.00000e+00
0188  4.52718e+18  3.74020e-22  1.61266e-07  1.73450e+07  4.22131e-01  0.00000e+00
0189  4.54560e+18  3.71467e-22  1.60948e-07  1.73379e+07  4.26146e-01  0.00000e+00
0190  4.56401e+18  3.68938e-22  1.60635e-07  1.73312e+07  4.30242e-01  0.00000e+00
0191  4.58243e+18  3.66434e-22  1.60329e-07  1.73248e+07  4.34418e-01  0.00000e+00
0192  4.60084e+18  3.63954e-22  1.60030e-07  1.73186e+07  4.38675e-01  0.00000e+00
0193  4.61926e+18  3.61501e-22  1.59737e-07  1.73123e+07  4.43012e-01  0.00000e+00
0194  4.63767e+18  3.59076e-22  1.59451e-07  1.73056e+07  4.47428e-01  0.00000e+00
0195  4.65609e+18  3.56681e-22  1.59170e-07  1.72983e+07  4.51920e-01  0.00000e+00
0196  4.67450e+18  3.54319e-22  1.58894e-07  1.72901e+07  4.56482e-01  0.00000e+00
0197  4.69292e+18  3.51994e-22  1.58622e-07  1.72810e+07  4.61110e-01  0.00000e+00
0198  4.71134e+18  3.49704e-22  1.58353e-07  1.72708e+07  4.65798e-01  0.00000e+00
0199  4.72975e+18  3.47444e-22  1.58085e-07  1.72596e+07  4.70538e-01  0.00000e+00
0200  4.74817e+18  3.45229e-22  1.57816e-07  1.72474e+07  4.75332e-01  0.00000e+00
0201  4.76658e+18  3.43113e-22  1.57545e-07  1.72345e+07  4.80188e-01  0.00000e+00
0202  4.78500e+18  3.41063e-22  1.57272e-07  1.72210e+07  4.85071e-01  0.00000e+00
0203  4.80341e+18  3.38695e-22  1.56997e-07  1.72072e+07  4.89876e-01  0.00000e+00
0204  4.82183e+18  3.35588e-22  1.56720e-07  1.71932e+07  4.94707e-01  0.00000e+00
0205  4.84024e+18  3.33731e-22  1.56445e-07  1.71793e+07  5.00462e-01  0.00000e+00
0206  4.85866e+18  3.34059e-22  1.56170e-07  1.71660e+07  5.08081e-01  0.00000e+00
0207  4.87708e+18  3.38681e-22  1.55890e-07  1.71532e+07  5.12649e-01  0.00000e+00
0208  4.89549e+18  3.67592e-22  1.55618e-07  1.71429e+07  5.12082e-01  0.00000e+00
0209  4.91391e+18  5.20323e-22  1.55262e-07  1.71363e+07  5.05366e-01  0.00000e+00
0210  4.93232e+18  1.25117e-21  1.54238e-07  1.70732e+07  4.76722e-01  0.00000e+00
0211  4.95074e+18  3.70495e-21  1.38166e-07  1.63512e+07  4.07277e-01  0.00000e+00
0212  4.96915e+18  6.17025e-21  1.41238e-07  1.49824e+07  3.22952e-01  0.00000e+00
0213  4.98757e+18  6.31528e-21  1.39875e-07  1.44291e+07  2.44242e-01  0.00000e+00
0214  5.00598e+18  6.15226e-21  1.36793e-07  1.44199e+07  1.80160e-01  0.00000e+00
0215  5.02440e+18  5.76127e-21  1.31229e-07  1.44848e+07  1.39689e-01  0.00000e+00
0216  5.04282e+18  5.29301e-21  1.24562e-07  1.45941e+07  1.23626e-01  0.00000e+00
0217  5.06123e+18  4.83052e-21  1.18420e-07  1.46864e+07  1.20824e-01  0.00000e+00
0218  5.07965e+18  4.31518e-21  1.12883e-07  1.47653e+07  1.20739e-01  0.00000e+00
0219  5.09806e+18  3.64692e-21  1.09086e-07  1.48958e+07  1.20816e-01  0.00000e+00
0220  5.11648e+18  2.82231e-21  1.05593e-07  1.52414e+07  1.21078e-01  0.00000e+00
0221  5.13489e+18  2.04593e-21  9.94485e-08  1.59479e+07  1.21566e-01  0.00000e+00
0222  5.15331e+18  1.51400e-21  9.24331e-08  1.67938e+07  1.22252e-01  0.00000e+00
0223  5.17172e+18  1.20620e-21  8.73417e-08  1.74928e+07  1.23084e-01  0.00000e+00
0224  5.19014e+18  1.02576e-21  8.38436e-08  1.80276e+07  1.24005e-01  0.00000e+00
0225  5.20856e+18  9.09477e-22  8.10749e-08  1.84658e+07  1.24973e-01  0.00000e+00
0226  5.22697e+18  8.27357e-22  7.86836e-08  1.88457e+07  1.25959e-01  0.00000e+00
0227  5.24539e+18  7.65079e-22  7.65537e-08  1.91842e+07  1.26949e-01  0.00000e+00
0228  5.26380e+18  7.15107e-22  7.46280e-08  1.94934e+07  1.27934e-01  0.00000e+00
0229  5.28222e+18  6.73395e-22  7.28479e-08  1.97819e+07  1.28911e-01  0.00000e+00
0230  5.30063e+18  6.37706e-22  7.11891e-08  2.00531e+07  1.29878e-01  0.00000e+00
0231  5.31905e+18  6.06602e-22  6.96386e-08  2.03095e+07  1.30836e-01  0.00000e+00
0232  5.33746e+18  5.79079e-22  6.81802e-08  2.05536e+07  1.31784e-01  0.00000e+00
0233  5.35588e+18  5.54462e-22  6.68019e-08  2.07868e+07  1.32724e-01  0.00000e+00
0234  5.37430e+18  5.32285e-22  6.54962e-08  2.10103e+07  1.33655e-01  0.00000e+00
0235  5.39271e+18  5.12162e-22  6.42556e-08  2.12244e+07  1.34579e-01  0.00000e+00
0236  5.41113e+18  4.93704e-22  6.30766e-08  2.14309e+07  1.35496e-01  0.00000e+00
0237  5.42954e+18  4.76635e-22  6.19424e-08  2.16321e+07  1.36406e-01  0.00000e+00
0238  5.44796e+18  4.60824e-22  6.08533e-08  2.18276e+07  1.37309e-01  0.00000e+00
0239  5.46637e+18  4.46143e-22  5.98083e-08  2.20172e+07  1.38206e-01  0.00000e+00
0240  5.48479e+18  4.32440e-22  5.88052e-08  2.22016e+07  1.39098e-01  0.00000e+00
0241  5.50320e+18  4.19583e-22  5.78377e-08  2.23816e+07  1.39983e-01  0.00000e+00
0242  5.52162e+18  4.07488e-22  5.69032e-08  2.25577e+07  1.40864e-01  0.00000e+00
0243  5.54004e+18  3.96088e-22  5.60006e-08  2.27299e+07  1.41739e-01  0.00000e+00
0244  5.55845e+18  3.85325e-22  5.51286e-08  2.28982e+07  1.42609e-01  0.00000e+00
0245  5.57687e+18  3.75147e-22  5.42858e-08  2.30626e+07  1.43475e-01  0.00000e+00
0246  5.59528e+18  3.65506e-22  5.34710e-08  2.32234e+07  1.44336e-01  0.00000e+00
0247  5.61370e+18  3.56365e-22  5.26829e-08  2.33804e+07  1.45193e-01  0.00000e+00
0248  5.63211e+18  3.47681e-22  5.19202e-08  2.35339e+07  1.46046e-01  0.00000e+00
0249  5.65053e+18  3.39403e-22  5.11814e-08  2.36843e+07  1.46895e-01  0.00000e+00
0250  5.66894e+18  3.31487e-22  5.04633e-08  2.38321e+07  1.47741e-01  0.00000e+00
0251  5.68736e+18  3.23907e-22  4.97648e-08  2.39775e+07  1.48583e-01  0.00000e+00
0252  5.70578e+18  3.16645e-22  4.90855e-08  2.41205e+07  1.49421e-01  0.00000e+00
0253  5.72419e+18  3.09683e-22  4.84250e-08  2.42610e+07  1.50256e-01  0.00000e+00
0254  5.74261e+18  3.03002e-22  4.77826e-08  2.43991e+07  1.51088e-01  0.00000e+00
0255  5.76102e+18  2.96586e-22  4.71577e-08  2.45348e+07  1.51916e-01  0.00000e+00
0256  5.77944e+18  2.90420e-22  4.65496e-08  2.46681e+07  1.52740e-01  0.00000e+00
0257  5.79785e+18  2.84491e-22  4.59579e-08  2.47991e+07  1.53560e-01  0.00000e+00
